COMMAND     PID USER   FD   TYPE   DEVICE SIZE/OFF NODE NAME
odysseygo 32561 root   51u  IPv4   777739      0t0  TCP ip-172-31-17-110.ec2.internal:51216->ec2-44-218-214-164.compute-1.amazonaws.com:9651 (ESTABLISHED)
odysseygo 32561 root   52u  IPv6 91629603      0t0  TCP ip-172-31-17-110.ec2.internal:9651->ec2-18-235-227-173.compute-1.amazonaws.com:53046 (ESTABLISHED)
odysseygo 32561 root   53u  IPv4   779941      0t0  TCP ip-172-31-17-110.ec2.internal:34106->ec2-98-83-188-107.compute-1.amazonaws.com:9651 (ESTABLISHED)
odysseygo 32561 root   54u  IPv6   781319      0t0  TCP ip-172-31-17-110.ec2.internal:9651->ec2-34-197-148-157.compute-1.amazonaws.com:49286 (ESTABLISHED)
odysseygo 32561 root   55u  IPv4   779200      0t0  TCP ip-172-31-17-110.ec2.internal:58194->ec2-3-232-45-182.compute-1.amazonaws.com:9651 (ESTABLISHED)
odysseygo 32561 root   56u  IPv6  2158042      0t0  TCP ip-172-31-17-110.ec2.internal:9651->ec2-174-129-137-236.compute-1.amazonaws.com:44706 (ESTABLISHED)
odysseygo 32561 root   57u  IPv6   926860      0t0  TCP ip-172-31-17-110.ec2.internal:9651->ec2-52-202-179-225.compute-1.amazonaws.com:60130 (ESTABLISHED)
odysseygo 32561 root   58u  IPv4   777738      0t0  TCP ip-172-31-17-110.ec2.internal:58540->ec2-98-80-46-175.compute-1.amazonaws.com:9651 (ESTABLISHED)
odysseygo 32561 root   59u  IPv4   779969      0t0  TCP ip-172-31-17-110.ec2.internal:55214->ec2-34-195-184-106.compute-1.amazonaws.com:9651 (ESTABLISHED)
odysseygo 32561 root   60u  IPv4   779940      0t0  TCP ip-172-31-17-110.ec2.internal:36950->ec2-3-230-225-34.compute-1.amazonaws.com:9651 (ESTABLISHED)
odysseygo 32561 root   61u  IPv4 23388181      0t0  TCP ip-172-31-17-110.ec2.internal:52744->ec2-3-223-220-64.compute-1.amazonaws.com:9651 (ESTABLISHED)
odysseygo 32561 root   62u  IPv6   779973      0t0  TCP ip-172-31-17-110.ec2.internal:9651->ec2-3-217-115-114.compute-1.amazonaws.com:45030 (ESTABLISHED)
odysseygo 32561 root   63u  IPv6   781447      0t0  TCP ip-172-31-17-110.ec2.internal:9651->ec2-18-215-11-46.compute-1.amazonaws.com:41134 (ESTABLISHED)
odysseygo 32561 root   64u  IPv4   779959      0t0  TCP ip-172-31-17-110.ec2.internal:42014->ec2-35-174-148-147.compute-1.amazonaws.com:9651 (ESTABLISHED)
odysseygo 32561 root   65u  IPv6   780792      0t0  TCP ip-172-31-17-110.ec2.internal:9651->ec2-34-197-125-83.compute-1.amazonaws.com:59934 (ESTABLISHED)
odysseygo 32561 root   66u  IPv6   777772      0t0  TCP ip-172-31-17-110.ec2.internal:9651->ec2-50-19-151-55.compute-1.amazonaws.com:43826 (ESTABLISHED)
odysseygo 32561 root   67u  IPv6   780010      0t0  TCP ip-172-31-17-110.ec2.internal:9651->ec2-34-197-104-250.compute-1.amazonaws.com:60880 (ESTABLISHED)
