COMMAND       PID USER   FD   TYPE   DEVICE SIZE/OFF NODE NAME
odysseygo 2427610 root  118u  IPv6 86723862      0t0  TCP ip-172-31-29-29.ec2.internal:9651->ec2-54-174-93-130.compute-1.amazonaws.com:53264 (ESTABLISHED)
odysseygo 2427610 root  119u  IPv6 86723864      0t0  TCP ip-172-31-29-29.ec2.internal:9651->ec2-23-21-204-131.compute-1.amazonaws.com:45034 (ESTABLISHED)
odysseygo 2427610 root  121u  IPv6 86720204      0t0  TCP ip-172-31-29-29.ec2.internal:9651->ec2-52-70-38-106.compute-1.amazonaws.com:58350 (ESTABLISHED)
odysseygo 2427610 root  122u  IPv6 86720206      0t0  TCP ip-172-31-29-29.ec2.internal:9651->ec2-50-19-151-55.compute-1.amazonaws.com:57148 (ESTABLISHED)
odysseygo 2427610 root  123u  IPv6 86722850      0t0  TCP ip-172-31-29-29.ec2.internal:9651->ec2-3-223-220-64.compute-1.amazonaws.com:47902 (ESTABLISHED)
odysseygo 2427610 root  124u  IPv4 86723868      0t0  TCP ip-172-31-29-29.ec2.internal:48338->ec2-44-214-160-107.compute-1.amazonaws.com:9651 (ESTABLISHED)
odysseygo 2427610 root  125u  IPv4 86720208      0t0  TCP ip-172-31-29-29.ec2.internal:48920->ec2-3-93-84-116.compute-1.amazonaws.com:9651 (ESTABLISHED)
odysseygo 2427610 root  127u  IPv6 86723869      0t0  TCP ip-172-31-29-29.ec2.internal:9651->ec2-54-226-62-214.compute-1.amazonaws.com:55486 (ESTABLISHED)
odysseygo 2427610 root  128u  IPv4 86720210      0t0  TCP ip-172-31-29-29.ec2.internal:54662->ec2-23-23-81-139.compute-1.amazonaws.com:9651 (ESTABLISHED)
odysseygo 2427610 root  129u  IPv6 86720211      0t0  TCP ip-172-31-29-29.ec2.internal:9651->ec2-35-169-184-86.compute-1.amazonaws.com:37708 (ESTABLISHED)
odysseygo 2427610 root  131u  IPv6 86723871      0t0  TCP ip-172-31-29-29.ec2.internal:9651->ec2-44-210-177-215.compute-1.amazonaws.com:60188 (ESTABLISHED)
odysseygo 2427610 root  132u  IPv6 86722853      0t0  TCP ip-172-31-29-29.ec2.internal:9651->ec2-98-80-46-175.compute-1.amazonaws.com:42342 (ESTABLISHED)
odysseygo 2427610 root  133u  IPv6 86723873      0t0  TCP ip-172-31-29-29.ec2.internal:9651->ec2-34-197-104-250.compute-1.amazonaws.com:42168 (ESTABLISHED)
odysseygo 2427610 root  134u  IPv6 86720214      0t0  TCP ip-172-31-29-29.ec2.internal:9651->ec2-54-197-55-84.compute-1.amazonaws.com:60110 (ESTABLISHED)
odysseygo 2427610 root  135u  IPv6 86720215      0t0  TCP ip-172-31-29-29.ec2.internal:9651->212.192.49.56:46498 (ESTABLISHED)
odysseygo 2427610 root  136u  IPv4 86723877      0t0  TCP ip-172-31-29-29.ec2.internal:51774->ec2-44-223-151-51.compute-1.amazonaws.com:9651 (ESTABLISHED)
odysseygo 2427610 root  137u  IPv6 86723875      0t0  TCP ip-172-31-29-29.ec2.internal:9651->ec2-18-206-17-246.compute-1.amazonaws.com:55882 (ESTABLISHED)
odysseygo 2427610 root  138u  IPv6 86722856      0t0  TCP ip-172-31-29-29.ec2.internal:9651->ec2-52-200-197-163.compute-1.amazonaws.com:39696 (ESTABLISHED)
odysseygo 2427610 root  139u  IPv6 86722858      0t0  TCP ip-172-31-29-29.ec2.internal:9651->ec2-35-174-148-147.compute-1.amazonaws.com:45356 (ESTABLISHED)
odysseygo 2427610 root  140u  IPv4 86723878      0t0  TCP ip-172-31-29-29.ec2.internal:56906->ec2-52-45-71-227.compute-1.amazonaws.com:9651 (ESTABLISHED)
odysseygo 2427610 root  141u  IPv6 86723879      0t0  TCP ip-172-31-29-29.ec2.internal:9651->ec2-34-206-59-82.compute-1.amazonaws.com:51184 (ESTABLISHED)
odysseygo 2427610 root  142u  IPv6 86722860      0t0  TCP ip-172-31-29-29.ec2.internal:9651->ec2-107-23-226-228.compute-1.amazonaws.com:35590 (ESTABLISHED)
odysseygo 2427610 root  143u  IPv4 86720219      0t0  TCP ip-172-31-29-29.ec2.internal:39358->ec2-18-207-74-220.compute-1.amazonaws.com:9651 (ESTABLISHED)
odysseygo 2427610 root  144u  IPv6 86722862      0t0  TCP ip-172-31-29-29.ec2.internal:9651->ec2-23-21-27-140.compute-1.amazonaws.com:51594 (ESTABLISHED)
odysseygo 2427610 root  146u  IPv4 86722864      0t0  TCP ip-172-31-29-29.ec2.internal:52988->ec2-107-21-238-130.compute-1.amazonaws.com:9651 (ESTABLISHED)
odysseygo 2427610 root  148u  IPv6 86723961      0t0  TCP ip-172-31-29-29.ec2.internal:9651->ec2-44-218-214-164.compute-1.amazonaws.com:45946 (ESTABLISHED)
