COMMAND     PID USER   FD   TYPE   DEVICE SIZE/OFF NODE NAME
odysseygo 32711 root   12u  IPv6   257044      0t0  TCP *:9651 (LISTEN)
odysseygo 32711 root   14u  IPv6  2224187      0t0  TCP ip-172-31-25-213.ec2.internal:9651->ec2-3-91-229-25.compute-1.amazonaws.com:53402 (ESTABLISHED)
odysseygo 32711 root   16u  IPv4  7555956      0t0  TCP ip-172-31-25-213.ec2.internal:47598->ec2-34-206-59-82.compute-1.amazonaws.com:9651 (ESTABLISHED)
odysseygo 32711 root   17u  IPv6 36157096      0t0  TCP ip-172-31-25-213.ec2.internal:9651->ec2-54-225-236-76.compute-1.amazonaws.com:52722 (ESTABLISHED)
odysseygo 32711 root   18u  IPv6   901335      0t0  TCP ip-172-31-25-213.ec2.internal:9651->ec2-34-195-184-106.compute-1.amazonaws.com:40004 (ESTABLISHED)
odysseygo 32711 root   19u  IPv4   901004      0t0  TCP ip-172-31-25-213.ec2.internal:37458->ec2-44-211-0-202.compute-1.amazonaws.com:9651 (ESTABLISHED)
odysseygo 32711 root   20u  IPv4   902290      0t0  TCP ip-172-31-25-213.ec2.internal:36798->ec2-50-19-116-199.compute-1.amazonaws.com:9651 (ESTABLISHED)
odysseygo 32711 root   21u  IPv6   901002      0t0  TCP ip-172-31-25-213.ec2.internal:9651->ec2-52-45-71-227.compute-1.amazonaws.com:40116 (ESTABLISHED)
odysseygo 32711 root   22u  IPv4   900991      0t0  TCP ip-172-31-25-213.ec2.internal:44440->ec2-54-85-9-116.compute-1.amazonaws.com:9651 (ESTABLISHED)
odysseygo 32711 root   23u  IPv4   902291      0t0  TCP ip-172-31-25-213.ec2.internal:53466->ec2-98-83-188-107.compute-1.amazonaws.com:9651 (ESTABLISHED)
odysseygo 32711 root   24u  IPv4   900894      0t0  TCP ip-172-31-25-213.ec2.internal:46096->ec2-23-23-81-139.compute-1.amazonaws.com:9651 (ESTABLISHED)
odysseygo 32711 root   25u  IPv6   900067      0t0  TCP ip-172-31-25-213.ec2.internal:9651->ec2-18-207-74-220.compute-1.amazonaws.com:53268 (ESTABLISHED)
odysseygo 32711 root   26u  IPv6   901427      0t0  TCP ip-172-31-25-213.ec2.internal:9651->ec2-54-174-93-130.compute-1.amazonaws.com:38004 (ESTABLISHED)
odysseygo 32711 root   27u  IPv4   903201      0t0  TCP ip-172-31-25-213.ec2.internal:41220->ec2-34-206-248-174.compute-1.amazonaws.com:9651 (ESTABLISHED)
odysseygo 32711 root   28u  IPv4   901246      0t0  TCP ip-172-31-25-213.ec2.internal:56146->ec2-3-227-69-165.compute-1.amazonaws.com:9651 (ESTABLISHED)
odysseygo 32711 root   29u  IPv4   901326      0t0  TCP ip-172-31-25-213.ec2.internal:59198->ec2-107-20-201-207.compute-1.amazonaws.com:9651 (ESTABLISHED)
odysseygo 32711 root   30u  IPv6   901337      0t0  TCP ip-172-31-25-213.ec2.internal:9651->ec2-35-169-184-86.compute-1.amazonaws.com:58222 (ESTABLISHED)
odysseygo 32711 root   31u  IPv4   902292      0t0  TCP ip-172-31-25-213.ec2.internal:45040->ec2-52-71-181-255.compute-1.amazonaws.com:9651 (ESTABLISHED)
odysseygo 32711 root   32u  IPv6  2222303      0t0  TCP ip-172-31-25-213.ec2.internal:9651->ec2-34-228-222-195.compute-1.amazonaws.com:58300 (ESTABLISHED)
odysseygo 32711 root   33u  IPv6   901005      0t0  TCP ip-172-31-25-213.ec2.internal:9651->ec2-44-218-214-164.compute-1.amazonaws.com:38938 (ESTABLISHED)
odysseygo 32711 root   34u  IPv4   900848      0t0  TCP ip-172-31-25-213.ec2.internal:38474->ec2-98-82-251-216.compute-1.amazonaws.com:9651 (ESTABLISHED)
odysseygo 32711 root   35u  IPv4 36155192      0t0  TCP ip-172-31-25-213.ec2.internal:58534->ec2-18-235-227-173.compute-1.amazonaws.com:9651 (ESTABLISHED)
odysseygo 32711 root   36u  IPv4   900992      0t0  TCP ip-172-31-25-213.ec2.internal:35954->ec2-3-230-225-34.compute-1.amazonaws.com:9651 (ESTABLISHED)
odysseygo 32711 root   37u  IPv6   901461      0t0  TCP ip-172-31-25-213.ec2.internal:9651->ec2-35-168-79-8.compute-1.amazonaws.com:56198 (ESTABLISHED)
odysseygo 32711 root   38u  IPv6  2224224      0t0  TCP ip-172-31-25-213.ec2.internal:9651->ec2-34-227-72-239.compute-1.amazonaws.com:51504 (ESTABLISHED)
odysseygo 32711 root   39u  IPv6   901330      0t0  TCP ip-172-31-25-213.ec2.internal:9651->ec2-34-203-168-140.compute-1.amazonaws.com:34832 (ESTABLISHED)
odysseygo 32711 root   40u  IPv4   899708      0t0  TCP ip-172-31-25-213.ec2.internal:45388->ec2-23-22-195-89.compute-1.amazonaws.com:9651 (ESTABLISHED)
odysseygo 32711 root   41u  IPv4   901007      0t0  TCP ip-172-31-25-213.ec2.internal:40856->ec2-34-202-51-225.compute-1.amazonaws.com:9651 (ESTABLISHED)
odysseygo 32711 root   42u  IPv6   901017      0t0  TCP ip-172-31-25-213.ec2.internal:9651->ec2-34-197-125-83.compute-1.amazonaws.com:40440 (ESTABLISHED)
odysseygo 32711 root   43u  IPv6  2225380      0t0  TCP ip-172-31-25-213.ec2.internal:9651->ec2-174-129-137-236.compute-1.amazonaws.com:37148 (ESTABLISHED)
odysseygo 32711 root   44u  IPv4  9616723      0t0  TCP ip-172-31-25-213.ec2.internal:49082->ec2-107-21-238-130.compute-1.amazonaws.com:9651 (ESTABLISHED)
odysseygo 32711 root   45u  IPv4   899567      0t0  TCP ip-172-31-25-213.ec2.internal:56686->ec2-34-234-4-103.compute-1.amazonaws.com:9651 (ESTABLISHED)
