COMMAND      PID USER   FD   TYPE   DEVICE SIZE/OFF NODE NAME
odysseygo 291902 root   53u  IPv4 91876088      0t0  TCP ip-172-31-24-48.ec2.internal:40200->ec2-3-80-154-255.compute-1.amazonaws.com:9651 (SYN_SENT)
odysseygo 291902 root   54u  IPv4 91880556      0t0  TCP ip-172-31-24-48.ec2.internal:42442->ec2-3-90-104-106.compute-1.amazonaws.com:9651 (SYN_SENT)
odysseygo 291902 root   55u  IPv4 91879924      0t0  TCP ip-172-31-24-48.ec2.internal:52446->ec2-3-87-158-142.compute-1.amazonaws.com:9651 (SYN_SENT)
odysseygo 291902 root   56u  IPv4 91876089      0t0  TCP ip-172-31-24-48.ec2.internal:46600->ec2-98-81-86-168.compute-1.amazonaws.com:9651 (SYN_SENT)
odysseygo 291902 root   57u  IPv4 91880557      0t0  TCP ip-172-31-24-48.ec2.internal:35722->ec2-52-201-248-173.compute-1.amazonaws.com:9651 (SYN_SENT)
odysseygo 291902 root   58u  IPv4 91876090      0t0  TCP ip-172-31-24-48.ec2.internal:33138->ec2-54-87-77-58.compute-1.amazonaws.com:9651 (SYN_SENT)
odysseygo 291902 root   59u  IPv4 91879925      0t0  TCP ip-172-31-24-48.ec2.internal:56088->ec2-3-90-221-85.compute-1.amazonaws.com:9651 (SYN_SENT)
odysseygo 291902 root   60u  IPv4 91880558      0t0  TCP ip-172-31-24-48.ec2.internal:48788->ec2-54-242-159-101.compute-1.amazonaws.com:9651 (SYN_SENT)
odysseygo 291902 root   61u  IPv4 91879926      0t0  TCP ip-172-31-24-48.ec2.internal:46104->ec2-34-229-171-184.compute-1.amazonaws.com:9651 (SYN_SENT)
odysseygo 291902 root   62u  IPv4 91876091      0t0  TCP ip-172-31-24-48.ec2.internal:39710->ec2-35-175-195-72.compute-1.amazonaws.com:9651 (SYN_SENT)
odysseygo 291902 root   63u  IPv4 91880559      0t0  TCP ip-172-31-24-48.ec2.internal:34858->ec2-54-198-126-194.compute-1.amazonaws.com:9651 (SYN_SENT)
odysseygo 291902 root   64u  IPv4 91876092      0t0  TCP ip-172-31-24-48.ec2.internal:54516->ec2-34-224-61-184.compute-1.amazonaws.com:9651 (SYN_SENT)
odysseygo 291902 root   65u  IPv4 91879927      0t0  TCP ip-172-31-24-48.ec2.internal:46938->ec2-34-229-174-199.compute-1.amazonaws.com:9651 (SYN_SENT)
odysseygo 291902 root   66u  IPv4 91880560      0t0  TCP ip-172-31-24-48.ec2.internal:50030->ec2-54-221-6-21.compute-1.amazonaws.com:9651 (SYN_SENT)
odysseygo 291902 root   67u  IPv4 91876093      0t0  TCP ip-172-31-24-48.ec2.internal:56952->ec2-54-147-2-72.compute-1.amazonaws.com:9651 (SYN_SENT)
odysseygo 291902 root   68u  IPv4 91879928      0t0  TCP ip-172-31-24-48.ec2.internal:54308->ec2-184-72-215-0.compute-1.amazonaws.com:9651 (SYN_SENT)
odysseygo 291902 root   69u  IPv4 91876094      0t0  TCP ip-172-31-24-48.ec2.internal:48756->ec2-3-90-187-225.compute-1.amazonaws.com:9651 (SYN_SENT)
odysseygo 291902 root   70u  IPv4 91880561      0t0  TCP ip-172-31-24-48.ec2.internal:41406->ec2-34-203-223-245.compute-1.amazonaws.com:9651 (SYN_SENT)
odysseygo 291902 root   71u  IPv4 91879929      0t0  TCP ip-172-31-24-48.ec2.internal:43314->ec2-3-90-207-111.compute-1.amazonaws.com:9651 (SYN_SENT)
odysseygo 291902 root   72u  IPv4 91876095      0t0  TCP ip-172-31-24-48.ec2.internal:34888->ec2-35-172-181-243.compute-1.amazonaws.com:9651 (SYN_SENT)
odysseygo 291902 root   73u  IPv4 91880562      0t0  TCP ip-172-31-24-48.ec2.internal:34608->ec2-54-163-196-28.compute-1.amazonaws.com:9651 (SYN_SENT)
