COMMAND     PID USER   FD   TYPE   DEVICE SIZE/OFF NODE NAME
odysseygo 31928 root   53u  IPv4 95178626      0t0  TCP ip-172-31-25-79.ec2.internal:33434->ec2-54-236-131-114.compute-1.amazonaws.com:9651 (ESTABLISHED)
odysseygo 31928 root   54u  IPv4   842122      0t0  TCP ip-172-31-25-79.ec2.internal:40116->ec2-34-206-101-137.compute-1.amazonaws.com:9651 (ESTABLISHED)
odysseygo 31928 root   55u  IPv4   840554      0t0  TCP ip-172-31-25-79.ec2.internal:52452->ec2-3-230-225-34.compute-1.amazonaws.com:9651 (ESTABLISHED)
odysseygo 31928 root   56u  IPv4   843187      0t0  TCP ip-172-31-25-79.ec2.internal:58522->ec2-98-80-46-175.compute-1.amazonaws.com:9651 (ESTABLISHED)
odysseygo 31928 root   57u  IPv6   843265      0t0  TCP ip-172-31-25-79.ec2.internal:9651->ec2-18-215-11-46.compute-1.amazonaws.com:46864 (ESTABLISHED)
odysseygo 31928 root   58u  IPv6   840629      0t0  TCP ip-172-31-25-79.ec2.internal:9651->ec2-3-217-115-114.compute-1.amazonaws.com:39014 (ESTABLISHED)
odysseygo 31928 root   59u  IPv4   842960      0t0  TCP ip-172-31-25-79.ec2.internal:39246->ec2-23-23-81-139.compute-1.amazonaws.com:9651 (ESTABLISHED)
odysseygo 31928 root   60u  IPv6   841155      0t0  TCP ip-172-31-25-79.ec2.internal:9651->ec2-44-223-151-51.compute-1.amazonaws.com:55172 (ESTABLISHED)
odysseygo 31928 root   61u  IPv6   843254      0t0  TCP ip-172-31-25-79.ec2.internal:9651->ec2-52-54-223-196.compute-1.amazonaws.com:51970 (ESTABLISHED)
odysseygo 31928 root   65u  IPv6   842366      0t0  TCP ip-172-31-25-79.ec2.internal:9651->ec2-23-21-27-140.compute-1.amazonaws.com:60884 (ESTABLISHED)
odysseygo 31928 root   66u  IPv6   843251      0t0  TCP ip-172-31-25-79.ec2.internal:9651->ec2-34-205-163-144.compute-1.amazonaws.com:59490 (ESTABLISHED)
odysseygo 31928 root   67u  IPv6   841160      0t0  TCP ip-172-31-25-79.ec2.internal:9651->ec2-34-197-148-157.compute-1.amazonaws.com:58920 (ESTABLISHED)
odysseygo 31928 root   68u  IPv4 10512026      0t0  TCP ip-172-31-25-79.ec2.internal:57770->ec2-52-71-181-255.compute-1.amazonaws.com:9651 (ESTABLISHED)
odysseygo 31928 root   69u  IPv6 95528523      0t0  TCP ip-172-31-25-79.ec2.internal:9651->static.194.78.108.65.clients.your-server.de:35826 (ESTABLISHED)
odysseygo 31928 root   70u  IPv4   842949      0t0  TCP ip-172-31-25-79.ec2.internal:60096->ec2-3-225-79-249.compute-1.amazonaws.com:9651 (ESTABLISHED)
odysseygo 31928 root   71u  IPv6   843203      0t0  TCP ip-172-31-25-79.ec2.internal:9651->ec2-54-224-250-2.compute-1.amazonaws.com:43566 (ESTABLISHED)
odysseygo 31928 root   72u  IPv4   840569      0t0  TCP ip-172-31-25-79.ec2.internal:56706->ec2-34-195-184-106.compute-1.amazonaws.com:9651 (ESTABLISHED)
odysseygo 31928 root   76u  IPv6 10511339      0t0  TCP ip-172-31-25-79.ec2.internal:9651->ec2-34-203-168-140.compute-1.amazonaws.com:57262 (ESTABLISHED)
odysseygo 31928 root   77u  IPv4   841048      0t0  TCP ip-172-31-25-79.ec2.internal:39828->ec2-34-202-51-225.compute-1.amazonaws.com:9651 (ESTABLISHED)
odysseygo 31928 root   78u  IPv4   841050      0t0  TCP ip-172-31-25-79.ec2.internal:34586->ec2-54-226-62-214.compute-1.amazonaws.com:9651 (ESTABLISHED)
odysseygo 31928 root   81u  IPv6   842251      0t0  TCP ip-172-31-25-79.ec2.internal:9651->ec2-3-228-129-216.compute-1.amazonaws.com:42868 (ESTABLISHED)
odysseygo 31928 root   82u  IPv4   842118      0t0  TCP ip-172-31-25-79.ec2.internal:41832->ec2-34-234-4-103.compute-1.amazonaws.com:9651 (ESTABLISHED)
odysseygo 31928 root   83u  IPv4   841053      0t0  TCP ip-172-31-25-79.ec2.internal:52248->ec2-54-86-40-233.compute-1.amazonaws.com:9651 (ESTABLISHED)
odysseygo 31928 root   84u  IPv4 95658214      0t0  TCP ip-172-31-25-79.ec2.internal:46694->ec2-52-3-14-29.compute-1.amazonaws.com:9651 (ESTABLISHED)
odysseygo 31928 root   85u  IPv4  4292222      0t0  TCP ip-172-31-25-79.ec2.internal:35516->ec2-3-218-45-144.compute-1.amazonaws.com:9651 (ESTABLISHED)
odysseygo 31928 root   87u  IPv4   840575      0t0  TCP ip-172-31-25-79.ec2.internal:55452->ec2-23-22-195-89.compute-1.amazonaws.com:9651 (ESTABLISHED)
odysseygo 31928 root   88u  IPv6   840695      0t0  TCP ip-172-31-25-79.ec2.internal:9651->ec2-52-200-197-163.compute-1.amazonaws.com:44042 (ESTABLISHED)
odysseygo 31928 root   89u  IPv4   840576      0t0  TCP ip-172-31-25-79.ec2.internal:34770->ec2-107-20-201-207.compute-1.amazonaws.com:9651 (ESTABLISHED)
odysseygo 31928 root   90u  IPv4   840577      0t0  TCP ip-172-31-25-79.ec2.internal:54510->ec2-35-169-184-86.compute-1.amazonaws.com:9651 (ESTABLISHED)
odysseygo 31928 root   91u  IPv6 10513441      0t0  TCP ip-172-31-25-79.ec2.internal:9651->ec2-18-207-74-220.compute-1.amazonaws.com:34246 (ESTABLISHED)
odysseygo 31928 root   93u  IPv6   841326      0t0  TCP ip-172-31-25-79.ec2.internal:9651->ec2-23-22-40-156.compute-1.amazonaws.com:39966 (ESTABLISHED)
odysseygo 31928 root   94u  IPv6 94428633      0t0  TCP ip-172-31-25-79.ec2.internal:9651->ec2-44-219-130-13.compute-1.amazonaws.com:56906 (ESTABLISHED)
odysseygo 31928 root   95u  IPv6   840643      0t0  TCP ip-172-31-25-79.ec2.internal:9651->ec2-34-197-104-250.compute-1.amazonaws.com:48606 (ESTABLISHED)
odysseygo 31928 root   97u  IPv4   841058      0t0  TCP ip-172-31-25-79.ec2.internal:49936->ec2-98-83-188-107.compute-1.amazonaws.com:9651 (ESTABLISHED)
odysseygo 31928 root  100u  IPv4 95559417      0t0  TCP ip-172-31-25-79.ec2.internal:53766->ec2-18-235-227-173.compute-1.amazonaws.com:9651 (ESTABLISHED)
odysseygo 31928 root  101u  IPv6   841292      0t0  TCP ip-172-31-25-79.ec2.internal:9651->ec2-35-168-79-8.compute-1.amazonaws.com:41888 (ESTABLISHED)
odysseygo 31928 root  111u  IPv6 10511343      0t0  TCP ip-172-31-25-79.ec2.internal:9651->ec2-18-233-204-144.compute-1.amazonaws.com:52630 (ESTABLISHED)
odysseygo 31928 root  112u  IPv6 10513443      0t0  TCP ip-172-31-25-79.ec2.internal:9651->ec2-34-196-243-223.compute-1.amazonaws.com:57036 (ESTABLISHED)
odysseygo 31928 root  113u  IPv6 10511345      0t0  TCP ip-172-31-25-79.ec2.internal:9651->ec2-54-174-93-130.compute-1.amazonaws.com:53908 (ESTABLISHED)
odysseygo 31928 root  114u  IPv6 10511347      0t0  TCP ip-172-31-25-79.ec2.internal:9651->ec2-3-227-69-165.compute-1.amazonaws.com:33672 (ESTABLISHED)
odysseygo 31928 root  124u  IPv6 95531160      0t0  TCP ip-172-31-25-79.ec2.internal:9651->static.159.52.109.65.clients.your-server.de:45198 (ESTABLISHED)
odysseygo 31928 root  127u  IPv6 95530347      0t0  TCP ip-172-31-25-79.ec2.internal:9651->static.107.144.132.142.clients.your-server.de:52940 (ESTABLISHED)
odysseygo 31928 root  131u  IPv6 95529443      0t0  TCP ip-172-31-25-79.ec2.internal:9651->static.32.122.108.65.clients.your-server.de:46716 (ESTABLISHED)
odysseygo 31928 root  138u  IPv4  8342422      0t0  TCP ip-172-31-25-79.ec2.internal:56562->ec2-18-235-252-133.compute-1.amazonaws.com:9651 (ESTABLISHED)
odysseygo 31928 root  139u  IPv4  8342541      0t0  TCP ip-172-31-25-79.ec2.internal:35742->ec2-34-206-59-82.compute-1.amazonaws.com:9651 (ESTABLISHED)
odysseygo 31928 root  141u  IPv4  4507389      0t0  TCP ip-172-31-25-79.ec2.internal:45396->ec2-44-210-177-215.compute-1.amazonaws.com:9651 (ESTABLISHED)
odysseygo 31928 root  143u  IPv6 10513447      0t0  TCP ip-172-31-25-79.ec2.internal:9651->ec2-35-169-66-196.compute-1.amazonaws.com:54922 (ESTABLISHED)
odysseygo 31928 root  144u  IPv4 10512035      0t0  TCP ip-172-31-25-79.ec2.internal:55116->ec2-54-197-55-84.compute-1.amazonaws.com:9651 (ESTABLISHED)
odysseygo 31928 root  151u  IPv6 37382388      0t0  TCP ip-172-31-25-79.ec2.internal:9651->104.236.110.97:36418 (ESTABLISHED)
odysseygo 31928 root  153u  IPv6 95558034      0t0  TCP ip-172-31-25-79.ec2.internal:9651->212.192.49.56:50248 (ESTABLISHED)
odysseygo 31928 root  154u  IPv6 10512041      0t0  TCP ip-172-31-25-79.ec2.internal:9651->ec2-35-72-54-251.ap-northeast-1.compute.amazonaws.com:39410 (ESTABLISHED)
odysseygo 31928 root  155u  IPv6 10513681      0t0  TCP ip-172-31-25-79.ec2.internal:9651->ec2-18-233-119-27.compute-1.amazonaws.com:44474 (ESTABLISHED)
odysseygo 31928 root  160u  IPv6 37383384      0t0  TCP ip-172-31-25-79.ec2.internal:9651->165.227.179.96:41342 (ESTABLISHED)
